district,chamber,indicator,value,topic,type,format,pad,id
State Senate District 33,Senate,Adults without high school degree,3979,Education,table,",",033,610U500US09033
State Senate District 34,Senate,Adults without high school degree,5787,Education,table,",",034,610U500US09034
State Senate District 35,Senate,Adults without high school degree,4318,Education,table,",",035,610U500US09035
State Senate District 36,Senate,Adults without high school degree,2924,Education,table,",",036,610U500US09036
State House District 1,House,Adults without high school degree,3472,Education,table,",",001,620L500US09001
State House District 2,House,Adults without high school degree,925,Education,table,",",002,620L500US09002
State House District 3,House,Adults without high school degree,4667,Education,table,",",003,620L500US09003
State House District 4,House,Adults without high school degree,3987,Education,table,",",004,620L500US09004
State House District 5,House,Adults without high school degree,2874,Education,table,",",005,620L500US09005
State House District 6,House,Adults without high school degree,3961,Education,table,",",006,620L500US09006
State House District 7,House,Adults without high school degree,2852,Education,table,",",007,620L500US09007
State House District 8,House,Adults without high school degree,559,Education,table,",",008,620L500US09008
State House District 9,House,Adults without high school degree,1736,Education,table,",",009,620L500US09009
State House District 10,House,Adults without high school degree,2549,Education,table,",",010,620L500US09010
State House District 11,House,Adults without high school degree,2063,Education,table,",",011,620L500US09011
State House District 12,House,Adults without high school degree,1350,Education,table,",",012,620L500US09012
State House District 13,House,Adults without high school degree,1016,Education,table,",",013,620L500US09013
State House District 14,House,Adults without high school degree,634,Education,table,",",014,620L500US09014
State House District 15,House,Adults without high school degree,1484,Education,table,",",015,620L500US09015
State House District 16,House,Adults without high school degree,480,Education,table,",",016,620L500US09016
State House District 17,House,Adults without high school degree,532,Education,table,",",017,620L500US09017
State House District 18,House,Adults without high school degree,950,Education,table,",",018,620L500US09018
State House District 19,House,Adults without high school degree,342,Education,table,",",019,620L500US09019
State House District 20,House,Adults without high school degree,1478,Education,table,",",020,620L500US09020
State House District 21,House,Adults without high school degree,704,Education,table,",",021,620L500US09021
State House District 22,House,Adults without high school degree,1888,Education,table,",",022,620L500US09022
State House District 23,House,Adults without high school degree,962,Education,table,",",023,620L500US09023
State House District 24,House,Adults without high school degree,2369,Education,table,",",024,620L500US09024
State House District 25,House,Adults without high school degree,4201,Education,table,",",025,620L500US09025
State House District 26,House,Adults without high school degree,2300,Education,table,",",026,620L500US09026
State House District 27,House,Adults without high school degree,1487,Education,table,",",027,620L500US09027
State House District 28,House,Adults without high school degree,1442,Education,table,",",028,620L500US09028
State House District 29,House,Adults without high school degree,1260,Education,table,",",029,620L500US09029
State House District 30,House,Adults without high school degree,1106,Education,table,",",030,620L500US09030
State House District 31,House,Adults without high school degree,540,Education,table,",",031,620L500US09031
State House District 32,House,Adults without high school degree,1207,Education,table,",",032,620L500US09032
State House District 33,House,Adults without high school degree,1030,Education,table,",",033,620L500US09033
State House District 34,House,Adults without high school degree,921,Education,table,",",034,620L500US09034
State House District 35,House,Adults without high school degree,1005,Education,table,",",035,620L500US09035
State House District 36,House,Adults without high school degree,646,Education,table,",",036,620L500US09036
State House District 37,House,Adults without high school degree,1007,Education,table,",",037,620L500US09037
State House District 38,House,Adults without high school degree,1181,Education,table,",",038,620L500US09038
State House District 39,House,Adults without high school degree,2614,Education,table,",",039,620L500US09039
State House District 40,House,Adults without high school degree,653,Education,table,",",040,620L500US09040
State House District 41,House,Adults without high school degree,1162,Education,table,",",041,620L500US09041
State House District 42,House,Adults without high school degree,1325,Education,table,",",042,620L500US09042
State House District 43,House,Adults without high school degree,912,Education,table,",",043,620L500US09043
State House District 44,House,Adults without high school degree,2391,Education,table,",",044,620L500US09044
State House District 45,House,Adults without high school degree,1901,Education,table,",",045,620L500US09045
State House District 46,House,Adults without high school degree,2214,Education,table,",",046,620L500US09046
State House District 47,House,Adults without high school degree,1493,Education,table,",",047,620L500US09047
State House District 48,House,Adults without high school degree,953,Education,table,",",048,620L500US09048
State House District 49,House,Adults without high school degree,2575,Education,table,",",049,620L500US09049
State House District 50,House,Adults without high school degree,1195,Education,table,",",050,620L500US09050
State House District 51,House,Adults without high school degree,1985,Education,table,",",051,620L500US09051
State House District 52,House,Adults without high school degree,1830,Education,table,",",052,620L500US09052
State House District 53,House,Adults without high school degree,729,Education,table,",",053,620L500US09053
State House District 54,House,Adults without high school degree,277,Education,table,",",054,620L500US09054
State House District 55,House,Adults without high school degree,599,Education,table,",",055,620L500US09055
State House District 56,House,Adults without high school degree,1419,Education,table,",",056,620L500US09056
State House District 57,House,Adults without high school degree,1019,Education,table,",",057,620L500US09057
State House District 58,House,Adults without high school degree,1477,Education,table,",",058,620L500US09058
State House District 59,House,Adults without high school degree,1755,Education,table,",",059,620L500US09059
State House District 60,House,Adults without high school degree,1093,Education,table,",",060,620L500US09060
State House District 61,House,Adults without high school degree,1141,Education,table,",",061,620L500US09061
State House District 62,House,Adults without high school degree,703,Education,table,",",062,620L500US09062
State House District 63,House,Adults without high school degree,1507,Education,table,",",063,620L500US09063
State House District 64,House,Adults without high school degree,972,Education,table,",",064,620L500US09064
State House District 65,House,Adults without high school degree,2796,Education,table,",",065,620L500US09065
State House District 66,House,Adults without high school degree,950,Education,table,",",066,620L500US09066
State House District 67,House,Adults without high school degree,1313,Education,table,",",067,620L500US09067
State House District 68,House,Adults without high school degree,1277,Education,table,",",068,620L500US09068
State House District 69,House,Adults without high school degree,1130,Education,table,",",069,620L500US09069
State House District 70,House,Adults without high school degree,1623,Education,table,",",070,620L500US09070
State House District 71,House,Adults without high school degree,1800,Education,table,",",071,620L500US09071
State House District 72,House,Adults without high school degree,3482,Education,table,",",072,620L500US09072
State House District 73,House,Adults without high school degree,1953,Education,table,",",073,620L500US09073
State House District 74,House,Adults without high school degree,2614,Education,table,",",074,620L500US09074
State House District 75,House,Adults without high school degree,4899,Education,table,",",075,620L500US09075
State House District 76,House,Adults without high school degree,1039,Education,table,",",076,620L500US09076
State House District 77,House,Adults without high school degree,1516,Education,table,",",077,620L500US09077
State House District 78,House,Adults without high school degree,1573,Education,table,",",078,620L500US09078
State House District 79,House,Adults without high school degree,2449,Education,table,",",079,620L500US09079
State House District 80,House,Adults without high school degree,1203,Education,table,",",080,620L500US09080
State House District 81,House,Adults without high school degree,1058,Education,table,",",081,620L500US09081
State House District 82,House,Adults without high school degree,1494,Education,table,",",082,620L500US09082
State House District 83,House,Adults without high school degree,1903,Education,table,",",083,620L500US09083
State House District 84,House,Adults without high school degree,2728,Education,table,",",084,620L500US09084
State House District 85,House,Adults without high school degree,1328,Education,table,",",085,620L500US09085
State House District 86,House,Adults without high school degree,748,Education,table,",",086,620L500US09086
State House District 87,House,Adults without high school degree,856,Education,table,",",087,620L500US09087
State House District 88,House,Adults without high school degree,443,Education,table,",",088,620L500US09088
State House District 89,House,Adults without high school degree,760,Education,table,",",089,620L500US09089
State House District 90,House,Adults without high school degree,1042,Education,table,",",090,620L500US09090
State House District 91,House,Adults without high school degree,1265,Education,table,",",091,620L500US09091
State House District 92,House,Adults without high school degree,2250,Education,table,",",092,620L500US09092
State House District 93,House,Adults without high school degree,1989,Education,table,",",093,620L500US09093
State House District 94,House,Adults without high school degree,1216,Education,table,",",094,620L500US09094
State House District 95,House,Adults without high school degree,4279,Education,table,",",095,620L500US09095
State House District 96,House,Adults without high school degree,1475,Education,table,",",096,620L500US09096
State House District 97,House,Adults without high school degree,2661,Education,table,",",097,620L500US09097
State House District 98,House,Adults without high school degree,642,Education,table,",",098,620L500US09098
State House District 99,House,Adults without high school degree,2101,Education,table,",",099,620L500US09099
State House District 100,House,Adults without high school degree,1529,Education,table,",",100,620L500US09100
State House District 101,House,Adults without high school degree,374,Education,table,",",101,620L500US09101
State House District 102,House,Adults without high school degree,1178,Education,table,",",102,620L500US09102
State House District 103,House,Adults without high school degree,1105,Education,table,",",103,620L500US09103
State House District 104,House,Adults without high school degree,2458,Education,table,",",104,620L500US09104
State House District 105,House,Adults without high school degree,1190,Education,table,",",105,620L500US09105
State House District 106,House,Adults without high school degree,674,Education,table,",",106,620L500US09106
State House District 107,House,Adults without high school degree,954,Education,table,",",107,620L500US09107
State House District 108,House,Adults without high school degree,728,Education,table,",",108,620L500US09108
State House District 109,House,Adults without high school degree,2929,Education,table,",",109,620L500US09109
State House District 110,House,Adults without high school degree,4608,Education,table,",",110,620L500US09110
State House District 111,House,Adults without high school degree,321,Education,table,",",111,620L500US09111
State House District 112,House,Adults without high school degree,721,Education,table,",",112,620L500US09112
State House District 113,House,Adults without high school degree,1129,Education,table,",",113,620L500US09113
State House District 114,House,Adults without high school degree,658,Education,table,",",114,620L500US09114
State House District 115,House,Adults without high school degree,1931,Education,table,",",115,620L500US09115
State House District 116,House,Adults without high school degree,2039,Education,table,",",116,620L500US09116
State House District 117,House,Adults without high school degree,1268,Education,table,",",117,620L500US09117
State House District 118,House,Adults without high school degree,943,Education,table,",",118,620L500US09118
State House District 119,House,Adults without high school degree,908,Education,table,",",119,620L500US09119
State House District 120,House,Adults without high school degree,1139,Education,table,",",120,620L500US09120
State House District 121,House,Adults without high school degree,2191,Education,table,",",121,620L500US09121
State House District 122,House,Adults without high school degree,1115,Education,table,",",122,620L500US09122
State House District 123,House,Adults without high school degree,909,Education,table,",",123,620L500US09123
State House District 124,House,Adults without high school degree,4047,Education,table,",",124,620L500US09124
State House District 125,House,Adults without high school degree,304,Education,table,",",125,620L500US09125
State House District 126,House,Adults without high school degree,2062,Education,table,",",126,620L500US09126
State House District 127,House,Adults without high school degree,3502,Education,table,",",127,620L500US09127
State House District 128,House,Adults without high school degree,4815,Education,table,",",128,620L500US09128
State House District 129,House,Adults without high school degree,3529,Education,table,",",129,620L500US09129
State House District 130,House,Adults without high school degree,4176,Education,table,",",130,620L500US09130
State House District 131,House,Adults without high school degree,1302,Education,table,",",131,620L500US09131
State House District 132,House,Adults without high school degree,478,Education,table,",",132,620L500US09132
State House District 133,House,Adults without high school degree,789,Education,table,",",133,620L500US09133
State House District 134,House,Adults without high school degree,732,Education,table,",",134,620L500US09134
State House District 135,House,Adults without high school degree,504,Education,table,",",135,620L500US09135
State House District 136,House,Adults without high school degree,196,Education,table,",",136,620L500US09136
State House District 137,House,Adults without high school degree,2020,Education,table,",",137,620L500US09137
State House District 138,House,Adults without high school degree,1421,Education,table,",",138,620L500US09138
State House District 139,House,Adults without high school degree,1581,Education,table,",",139,620L500US09139
State House District 140,House,Adults without high school degree,3453,Education,table,",",140,620L500US09140
State House District 141,House,Adults without high school degree,434,Education,table,",",141,620L500US09141
State House District 142,House,Adults without high school degree,1012,Education,table,",",142,620L500US09142
State House District 143,House,Adults without high school degree,706,Education,table,",",143,620L500US09143
State House District 144,House,Adults without high school degree,1083,Education,table,",",144,620L500US09144
State House District 145,House,Adults without high school degree,3495,Education,table,",",145,620L500US09145
State House District 146,House,Adults without high school degree,1735,Education,table,",",146,620L500US09146
State House District 147,House,Adults without high school degree,572,Education,table,",",147,620L500US09147
State House District 148,House,Adults without high school degree,2824,Education,table,",",148,620L500US09148
State House District 149,House,Adults without high school degree,633,Education,table,",",149,620L500US09149
State House District 150,House,Adults without high school degree,944,Education,table,",",150,620L500US09150
State House District 151,House,Adults without high school degree,668,Education,table,",",151,620L500US09151
Connecticut,State,Adults without high school degree,242932,Education,table,",",,Connecticut
State Senate District 1,Senate,Percent of adults without high school degree,0.257,Education,map,.0%,001,610U500US09001
State Senate District 2,Senate,Percent of adults without high school degree,0.156,Education,map,.0%,002,610U500US09002
State Senate District 3,Senate,Percent of adults without high school degree,0.104,Education,map,.0%,003,610U500US09003
State Senate District 4,Senate,Percent of adults without high school degree,0.056,Education,map,.0%,004,610U500US09004
State Senate District 5,Senate,Percent of adults without high school degree,0.05,Education,map,.0%,005,610U500US09005
State Senate District 6,Senate,Percent of adults without high school degree,0.16,Education,map,.0%,006,610U500US09006
State Senate District 7,Senate,Percent of adults without high school degree,0.083,Education,map,.0%,007,610U500US09007
State Senate District 8,Senate,Percent of adults without high school degree,0.062,Education,map,.0%,008,610U500US09008
State Senate District 9,Senate,Percent of adults without high school degree,0.078,Education,map,.0%,009,610U500US09009
State Senate District 10,Senate,Percent of adults without high school degree,0.162,Education,map,.0%,010,610U500US09010
State Senate District 11,Senate,Percent of adults without high school degree,0.117,Education,map,.0%,011,610U500US09011
State Senate District 12,Senate,Percent of adults without high school degree,0.042,Education,map,.0%,012,610U500US09012
State Senate District 13,Senate,Percent of adults without high school degree,0.098,Education,map,.0%,013,610U500US09013
State Senate District 14,Senate,Percent of adults without high school degree,0.066,Education,map,.0%,014,610U500US09014
State Senate District 15,Senate,Percent of adults without high school degree,0.2,Education,map,.0%,015,610U500US09015
State Senate District 16,Senate,Percent of adults without high school degree,0.089,Education,map,.0%,016,610U500US09016
State Senate District 17,Senate,Percent of adults without high school degree,0.094,Education,map,.0%,017,610U500US09017
State Senate District 18,Senate,Percent of adults without high school degree,0.08,Education,map,.0%,018,610U500US09018
State Senate District 19,Senate,Percent of adults without high school degree,0.09,Education,map,.0%,019,610U500US09019
State Senate District 20,Senate,Percent of adults without high school degree,0.087,Education,map,.0%,020,610U500US09020
State Senate District 21,Senate,Percent of adults without high school degree,0.07,Education,map,.0%,021,610U500US09021
State Senate District 22,Senate,Percent of adults without high school degree,0.133,Education,map,.0%,022,610U500US09022
State Senate District 23,Senate,Percent of adults without high school degree,0.258,Education,map,.0%,023,610U500US09023
State Senate District 24,Senate,Percent of adults without high school degree,0.141,Education,map,.0%,024,610U500US09024
State Senate District 25,Senate,Percent of adults without high school degree,0.104,Education,map,.0%,025,610U500US09025
State Senate District 26,Senate,Percent of adults without high school degree,0.023,Education,map,.0%,026,610U500US09026
State Senate District 27,Senate,Percent of adults without high school degree,0.122,Education,map,.0%,027,610U500US09027
State Senate District 28,Senate,Percent of adults without high school degree,0.041,Education,map,.0%,028,610U500US09028
State Senate District 29,Senate,Percent of adults without high school degree,0.124,Education,map,.0%,029,610U500US09029
State Senate District 30,Senate,Percent of adults without high school degree,0.074,Education,map,.0%,030,610U500US09030
State Senate District 31,Senate,Percent of adults without high school degree,0.104,Education,map,.0%,031,610U500US09031
State Senate District 32,Senate,Percent of adults without high school degree,0.061,Education,map,.0%,032,610U500US09032
State Senate District 33,Senate,Percent of adults without high school degree,0.054,Education,map,.0%,033,610U500US09033
State Senate District 34,Senate,Percent of adults without high school degree,0.081,Education,map,.0%,034,610U500US09034
State Senate District 35,Senate,Percent of adults without high school degree,0.061,Education,map,.0%,035,610U500US09035
State Senate District 36,Senate,Percent of adults without high school degree,0.043,Education,map,.0%,036,610U500US09036
State House District 1,House,Percent of adults without high school degree,0.234,Education,map,.0%,001,620L500US09001
State House District 2,House,Percent of adults without high school degree,0.054,Education,map,.0%,002,620L500US09002
State House District 3,House,Percent of adults without high school degree,0.353,Education,map,.0%,003,620L500US09003
State House District 4,House,Percent of adults without high school degree,0.309,Education,map,.0%,004,620L500US09004
State House District 5,House,Percent of adults without high school degree,0.187,Education,map,.0%,005,620L500US09005
State House District 6,House,Percent of adults without high school degree,0.273,Education,map,.0%,006,620L500US09006
State House District 7,House,Percent of adults without high school degree,0.222,Education,map,.0%,007,620L500US09007
State House District 8,House,Percent of adults without high school degree,0.034,Education,map,.0%,008,620L500US09008
State House District 9,House,Percent of adults without high school degree,0.098,Education,map,.0%,009,620L500US09009
State House District 10,House,Percent of adults without high school degree,0.161,Education,map,.0%,010,620L500US09010
State House District 11,House,Percent of adults without high school degree,0.124,Education,map,.0%,011,620L500US09011
State House District 12,House,Percent of adults without high school degree,0.079,Education,map,.0%,012,620L500US09012
State House District 13,House,Percent of adults without high school degree,0.062,Education,map,.0%,013,620L500US09013
State House District 14,House,Percent of adults without high school degree,0.037,Education,map,.0%,014,620L500US09014
State House District 15,House,Percent of adults without high school degree,0.084,Education,map,.0%,015,620L500US09015
State House District 16,House,Percent of adults without high school degree,0.029,Education,map,.0%,016,620L500US09016
State House District 17,House,Percent of adults without high school degree,0.032,Education,map,.0%,017,620L500US09017
State House District 18,House,Percent of adults without high school degree,0.057,Education,map,.0%,018,620L500US09018
State House District 19,House,Percent of adults without high school degree,0.02,Education,map,.0%,019,620L500US09019
State House District 20,House,Percent of adults without high school degree,0.095,Education,map,.0%,020,620L500US09020
State House District 21,House,Percent of adults without high school degree,0.042,Education,map,.0%,021,620L500US09021
State House District 22,House,Percent of adults without high school degree,0.115,Education,map,.0%,022,620L500US09022
State House District 23,House,Percent of adults without high school degree,0.054,Education,map,.0%,023,620L500US09023
State House District 24,House,Percent of adults without high school degree,0.152,Education,map,.0%,024,620L500US09024
State House District 25,House,Percent of adults without high school degree,0.277,Education,map,.0%,025,620L500US09025
State House District 26,House,Percent of adults without high school degree,0.15,Education,map,.0%,026,620L500US09026
State House District 27,House,Percent of adults without high school degree,0.081,Education,map,.0%,027,620L500US09027
State House District 28,House,Percent of adults without high school degree,0.084,Education,map,.0%,028,620L500US09028
State House District 29,House,Percent of adults without high school degree,0.068,Education,map,.0%,029,620L500US09029
State House District 30,House,Percent of adults without high school degree,0.06,Education,map,.0%,030,620L500US09030
State House District 31,House,Percent of adults without high school degree,0.032,Education,map,.0%,031,620L500US09031
State House District 32,House,Percent of adults without high school degree,0.069,Education,map,.0%,032,620L500US09032
State House District 33,House,Percent of adults without high school degree,0.068,Education,map,.0%,033,620L500US09033
State House District 34,House,Percent of adults without high school degree,0.055,Education,map,.0%,034,620L500US09034
State House District 35,House,Percent of adults without high school degree,0.058,Education,map,.0%,035,620L500US09035
State House District 36,House,Percent of adults without high school degree,0.037,Education,map,.0%,036,620L500US09036
State House District 37,House,Percent of adults without high school degree,0.059,Education,map,.0%,037,620L500US09037
State House District 38,House,Percent of adults without high school degree,0.068,Education,map,.0%,038,620L500US09038
State House District 39,House,Percent of adults without high school degree,0.199,Education,map,.0%,039,620L500US09039
State House District 40,House,Percent of adults without high school degree,0.045,Education,map,.0%,040,620L500US09040
State House District 41,House,Percent of adults without high school degree,0.072,Education,map,.0%,041,620L500US09041
State House District 42,House,Percent of adults without high school degree,0.078,Education,map,.0%,042,620L500US09042
State House District 43,House,Percent of adults without high school degree,0.051,Education,map,.0%,043,620L500US09043
State House District 44,House,Percent of adults without high school degree,0.14,Education,map,.0%,044,620L500US09044
State House District 45,House,Percent of adults without high school degree,0.12,Education,map,.0%,045,620L500US09045
State House District 46,House,Percent of adults without high school degree,0.14,Education,map,.0%,046,620L500US09046
State House District 47,House,Percent of adults without high school degree,0.083,Education,map,.0%,047,620L500US09047
State House District 48,House,Percent of adults without high school degree,0.057,Education,map,.0%,048,620L500US09048
State House District 49,House,Percent of adults without high school degree,0.191,Education,map,.0%,049,620L500US09049
State House District 50,House,Percent of adults without high school degree,0.072,Education,map,.0%,050,620L500US09050
State House District 51,House,Percent of adults without high school degree,0.118,Education,map,.0%,051,620L500US09051
State House District 52,House,Percent of adults without high school degree,0.113,Education,map,.0%,052,620L500US09052
State House District 53,House,Percent of adults without high school degree,0.045,Education,map,.0%,053,620L500US09053
State House District 54,House,Percent of adults without high school degree,0.047,Education,map,.0%,054,620L500US09054
State House District 55,House,Percent of adults without high school degree,0.036,Education,map,.0%,055,620L500US09055
State House District 56,House,Percent of adults without high school degree,0.08,Education,map,.0%,056,620L500US09056
State House District 57,House,Percent of adults without high school degree,0.06,Education,map,.0%,057,620L500US09057
State House District 58,House,Percent of adults without high school degree,0.086,Education,map,.0%,058,620L500US09058
State House District 59,House,Percent of adults without high school degree,0.101,Education,map,.0%,059,620L500US09059
State House District 60,House,Percent of adults without high school degree,0.064,Education,map,.0%,060,620L500US09060
State House District 61,House,Percent of adults without high school degree,0.07,Education,map,.0%,061,620L500US09061
State House District 62,House,Percent of adults without high school degree,0.042,Education,map,.0%,062,620L500US09062
State House District 63,House,Percent of adults without high school degree,0.091,Education,map,.0%,063,620L500US09063
State House District 64,House,Percent of adults without high school degree,0.057,Education,map,.0%,064,620L500US09064
State House District 65,House,Percent of adults without high school degree,0.169,Education,map,.0%,065,620L500US09065
State House District 66,House,Percent of adults without high school degree,0.056,Education,map,.0%,066,620L500US09066
State House District 67,House,Percent of adults without high school degree,0.078,Education,map,.0%,067,620L500US09067
State House District 68,House,Percent of adults without high school degree,0.078,Education,map,.0%,068,620L500US09068
State House District 69,House,Percent of adults without high school degree,0.062,Education,map,.0%,069,620L500US09069
State House District 70,House,Percent of adults without high school degree,0.101,Education,map,.0%,070,620L500US09070
State House District 71,House,Percent of adults without high school degree,0.113,Education,map,.0%,071,620L500US09071
State House District 72,House,Percent of adults without high school degree,0.239,Education,map,.0%,072,620L500US09072
State House District 73,House,Percent of adults without high school degree,0.133,Education,map,.0%,073,620L500US09073
State House District 74,House,Percent of adults without high school degree,0.162,Education,map,.0%,074,620L500US09074
State House District 75,House,Percent of adults without high school degree,0.358,Education,map,.0%,075,620L500US09075
State House District 76,House,Percent of adults without high school degree,0.06,Education,map,.0%,076,620L500US09076
State House District 77,House,Percent of adults without high school degree,0.087,Education,map,.0%,077,620L500US09077
State House District 78,House,Percent of adults without high school degree,0.094,Education,map,.0%,078,620L500US09078
State House District 79,House,Percent of adults without high school degree,0.142,Education,map,.0%,079,620L500US09079
State House District 80,House,Percent of adults without high school degree,0.074,Education,map,.0%,080,620L500US09080
State House District 81,House,Percent of adults without high school degree,0.062,Education,map,.0%,081,620L500US09081
State House District 82,House,Percent of adults without high school degree,0.082,Education,map,.0%,082,620L500US09082
State House District 83,House,Percent of adults without high school degree,0.097,Education,map,.0%,083,620L500US09083
State House District 84,House,Percent of adults without high school degree,0.195,Education,map,.0%,084,620L500US09084
State House District 85,House,Percent of adults without high school degree,0.079,Education,map,.0%,085,620L500US09085
State House District 86,House,Percent of adults without high school degree,0.044,Education,map,.0%,086,620L500US09086
State House District 87,House,Percent of adults without high school degree,0.049,Education,map,.0%,087,620L500US09087
State House District 88,House,Percent of adults without high school degree,0.031,Education,map,.0%,088,620L500US09088
State House District 89,House,Percent of adults without high school degree,0.045,Education,map,.0%,089,620L500US09089
State House District 90,House,Percent of adults without high school degree,0.062,Education,map,.0%,090,620L500US09090
State House District 91,House,Percent of adults without high school degree,0.068,Education,map,.0%,091,620L500US09091
State House District 92,House,Percent of adults without high school degree,0.135,Education,map,.0%,092,620L500US09092
State House District 93,House,Percent of adults without high school degree,0.165,Education,map,.0%,093,620L500US09093
State House District 94,House,Percent of adults without high school degree,0.09,Education,map,.0%,094,620L500US09094
State House District 95,House,Percent of adults without high school degree,0.309,Education,map,.0%,095,620L500US09095
State House District 96,House,Percent of adults without high school degree,0.077,Education,map,.0%,096,620L500US09096
State House District 97,House,Percent of adults without high school degree,0.159,Education,map,.0%,097,620L500US09097
State House District 98,House,Percent of adults without high school degree,0.038,Education,map,.0%,098,620L500US09098
State House District 99,House,Percent of adults without high school degree,0.121,Education,map,.0%,099,620L500US09099
State House District 100,House,Percent of adults without high school degree,0.093,Education,map,.0%,100,620L500US09100
State House District 101,House,Percent of adults without high school degree,0.023,Education,map,.0%,101,620L500US09101
State House District 102,House,Percent of adults without high school degree,0.067,Education,map,.0%,102,620L500US09102
State House District 103,House,Percent of adults without high school degree,0.067,Education,map,.0%,103,620L500US09103
State House District 104,House,Percent of adults without high school degree,0.149,Education,map,.0%,104,620L500US09104
State House District 105,House,Percent of adults without high school degree,0.074,Education,map,.0%,105,620L500US09105
State House District 106,House,Percent of adults without high school degree,0.043,Education,map,.0%,106,620L500US09106
State House District 107,House,Percent of adults without high school degree,0.055,Education,map,.0%,107,620L500US09107
State House District 108,House,Percent of adults without high school degree,0.044,Education,map,.0%,108,620L500US09108
State House District 109,House,Percent of adults without high school degree,0.17,Education,map,.0%,109,620L500US09109
State House District 110,House,Percent of adults without high school degree,0.28,Education,map,.0%,110,620L500US09110
State House District 111,House,Percent of adults without high school degree,0.02,Education,map,.0%,111,620L500US09111
State House District 112,House,Percent of adults without high school degree,0.046,Education,map,.0%,112,620L500US09112
State House District 113,House,Percent of adults without high school degree,0.067,Education,map,.0%,113,620L500US09113
State House District 114,House,Percent of adults without high school degree,0.041,Education,map,.0%,114,620L500US09114
State House District 115,House,Percent of adults without high school degree,0.122,Education,map,.0%,115,620L500US09115
State House District 116,House,Percent of adults without high school degree,0.154,Education,map,.0%,116,620L500US09116
State House District 117,House,Percent of adults without high school degree,0.072,Education,map,.0%,117,620L500US09117
State House District 118,House,Percent of adults without high school degree,0.053,Education,map,.0%,118,620L500US09118
State House District 119,House,Percent of adults without high school degree,0.055,Education,map,.0%,119,620L500US09119
State House District 120,House,Percent of adults without high school degree,0.065,Education,map,.0%,120,620L500US09120
State House District 121,House,Percent of adults without high school degree,0.134,Education,map,.0%,121,620L500US09121
State House District 122,House,Percent of adults without high school degree,0.059,Education,map,.0%,122,620L500US09122
State House District 123,House,Percent of adults without high school degree,0.057,Education,map,.0%,123,620L500US09123
State House District 124,House,Percent of adults without high school degree,0.254,Education,map,.0%,124,620L500US09124
State House District 125,House,Percent of adults without high school degree,0.02,Education,map,.0%,125,620L500US09125
State House District 126,House,Percent of adults without high school degree,0.133,Education,map,.0%,126,620L500US09126
State House District 127,House,Percent of adults without high school degree,0.197,Education,map,.0%,127,620L500US09127
State House District 128,House,Percent of adults without high school degree,0.333,Education,map,.0%,128,620L500US09128
State House District 129,House,Percent of adults without high school degree,0.224,Education,map,.0%,129,620L500US09129
State House District 130,House,Percent of adults without high school degree,0.295,Education,map,.0%,130,620L500US09130
State House District 131,House,Percent of adults without high school degree,0.079,Education,map,.0%,131,620L500US09131
State House District 132,House,Percent of adults without high school degree,0.03,Education,map,.0%,132,620L500US09132
State House District 133,House,Percent of adults without high school degree,0.055,Education,map,.0%,133,620L500US09133
State House District 134,House,Percent of adults without high school degree,0.047,Education,map,.0%,134,620L500US09134
State House District 135,House,Percent of adults without high school degree,0.031,Education,map,.0%,135,620L500US09135
State House District 136,House,Percent of adults without high school degree,0.012,Education,map,.0%,136,620L500US09136
State House District 137,House,Percent of adults without high school degree,0.113,Education,map,.0%,137,620L500US09137
State House District 138,House,Percent of adults without high school degree,0.086,Education,map,.0%,138,620L500US09138
State House District 139,House,Percent of adults without high school degree,0.093,Education,map,.0%,139,620L500US09139
State House District 140,House,Percent of adults without high school degree,0.222,Education,map,.0%,140,620L500US09140
State House District 141,House,Percent of adults without high school degree,0.028,Education,map,.0%,141,620L500US09141
State House District 142,House,Percent of adults without high school degree,0.055,Education,map,.0%,142,620L500US09142
State House District 143,House,Percent of adults without high school degree,0.042,Education,map,.0%,143,620L500US09143
State House District 144,House,Percent of adults without high school degree,0.064,Education,map,.0%,144,620L500US09144
State House District 145,House,Percent of adults without high school degree,0.215,Education,map,.0%,145,620L500US09145
State House District 146,House,Percent of adults without high school degree,0.086,Education,map,.0%,146,620L500US09146
State House District 147,House,Percent of adults without high school degree,0.036,Education,map,.0%,147,620L500US09147
State House District 148,House,Percent of adults without high school degree,0.168,Education,map,.0%,148,620L500US09148
State House District 149,House,Percent of adults without high school degree,0.039,Education,map,.0%,149,620L500US09149
State House District 150,House,Percent of adults without high school degree,0.058,Education,map,.0%,150,620L500US09150
State House District 151,House,Percent of adults without high school degree,0.043,Education,map,.0%,151,620L500US09151
Connecticut,State,Percent of adults without high school degree,0.099,Education,map,.0%,,Connecticut
State Senate District 1,Senate,Adults with bachelor's or higher,12575,Education,table,",",001,610U500US09001
State Senate District 2,Senate,Adults with bachelor's or higher,17745,Education,table,",",002,610U500US09002
State Senate District 3,Senate,Adults with bachelor's or higher,21782,Education,table,",",003,610U500US09003
State Senate District 4,Senate,Adults with bachelor's or higher,33022,Education,table,",",004,610U500US09004
State Senate District 5,Senate,Adults with bachelor's or higher,40972,Education,table,",",005,610U500US09005
State Senate District 6,Senate,Adults with bachelor's or higher,15631,Education,table,",",006,610U500US09006
State Senate District 7,Senate,Adults with bachelor's or higher,23796,Education,table,",",007,610U500US09007
State Senate District 8,Senate,Adults with bachelor's or higher,33020,Education,table,",",008,610U500US09008
